,long_name,short_name,short_loc,league,
 China PR, China PR, China PR,,,International
 Chinese Taipei, Chinese Taipei, Chinese Taipei,,,International
 Colombia, Colombia, Colombia,COL,,International
 Comoros, Comoros, Comoros,,,International
 Congo, Congo, Congo,,,International
 Congo DR, Congo DR, Congo DR,,,International
 Cook Islands, Cook Islands, Cook Islands,,,International
 Costa Rica, Costa Rica, Costa Rica,CRC,,International
 Croatia, Croatia, Croatia,CRO,,International
 Cuba, Cuba, Cuba,,,International
 Curaçao, Curaçao, Curaçao,,,International
 Cyprus, Cyprus, Cyprus,,,International
 Czech Republic, Czech Republic, Czech Republic,,,International
 Denmark, Denmark, Denmark,,,International
 Djibouti, Djibouti, Djibouti,,,International
 Dominica, Dominica, Dominica,,,International
 Dominican Republic, Dominican Republic,,,,International
 East Timor, East Timor, East Timor,,,International
 Ecuador, Ecuador, Ecuador,ECU,,International
 Egypt, Egypt, Egypt,,,International
 El Salvador, El Salvador, El Salvador,,,International
 England, England, England,ENG,,International
 Equatorial Guinea, Equatorial Guinea, Equatorial Guinea,,,International
 Eritrea, Eritrea, Eritrea,,,International
 Estonia, Estonia, Estonia,,,International
 Ethiopia, Ethiopia, Ethiopia,,,International
 Faroe Islands, Faroe Islands, Faroe Islands,,,International
 Fiji, Fiji, Fiji,,,International
 Finland, Finland, Finland,,,International
 France, France, France,FRA,,International
 French Guiana, French Guiana, French Guiana,,,International
 Gabon, Gabon, Gabon,,,International
 Gambia, Gambia, Gambia,,,International
 Georgia, Georgia, Georgia,,,International
 Germany, Germany, Germany,GER,,International
 Ghana, Ghana, Ghana,GHA,,International
 Gibraltar, Gibraltar, Gibraltar,,,International
 Greece, Greece, Greece,GRE,,International
 Grenada, Grenada, Grenada,,,International
 Guadeloupe, Guadeloupe, Guadeloupe,,,International
 Guam, Guam, Guam,,,International
 Guatemala, Guatemala, Guatemala,,,International
 Guinea, Guinea, Guinea,,,International
 Guinea-Bissau, Guinea-Bissau, Guinea-Bissau,,,International
 Guyana, Guyana, Guyana,,,International
 Haiti, Haiti, Haiti,,,International
 Honduras, Honduras, Honduras,HON,,International
 Hong Kong, Hong Kong, Hong Kong,,,International
 Hungary, Hungary, Hungary,,,International
 Iceland, Iceland, Iceland,,,International
 India, India, India,,,International
 Indonesia, Indonesia, Indonesia,,,International
 Iran, Iran, Iran,IRN,,International
 Iraq, Iraq, Iraq,,,International
 Ireland, Ireland, Ireland,,,International
 Israel, Israel, Israel,,,International
 Italy, Italy, Italy,ITA,,International
 Ivory Coast, Ivory Coast, Ivory Coast,,,International
 Jamaica, Jamaica, Jamaica,,,International
 Japan, Japan, Japan,JPN,,International
 Jordan, Jordan, Jordan,,,International
 Kazakhstan, Kazakhstan, Kazakhstan,,,International
 Kenya, Kenya, Kenya,,,International
 Kosovo, Kosovo, Kosovo,,,International
 Kuwait, Kuwait, Kuwait,,,International
 Kyrgyzstan, Kyrgyzstan, Kyrgyzstan,,,International
 Laos, Laos, Laos,,,International
 Latvia, Latvia, Latvia,,,International
 Lebanon, Lebanon, Lebanon,,,International
 Lesotho, Lesotho, Lesotho,,,International
 Liberia, Liberia, Liberia,,,International
 Libya, Libya, Libya,,,International
 Liechtenstein, Liechtenstein, Liechtenstein,,,International
 Lithuania, Lithuania, Lithuania,,,International
 Luxembourg, Luxembourg, Luxembourg,,,International
 Macau, Macau, Macau,,,International
 Macedonia, Macedonia, Macedonia,,,International
 Madagascar, Madagascar, Madagascar,,,International
 Malawi, Malawi, Malawi,,,International
 Malaysia, Malaysia, Malaysia,,,International
 Maldives, Maldives, Maldives,,,International
 Mali, Mali, Mali,,,International
 Malta, Malta, Malta,,,International
 Martinique, Martinique, Martinique,,,International
 Mauritania, Mauritania, Mauritania,,,International
 Mauritius, Mauritius, Mauritius,,,International
 Mexico, Mexico, Mexico,MEX,,International
 Moldova, Moldova, Moldova,,,International
 Mongolia, Mongolia, Mongolia,,,International
 Montenegro, Montenegro, Montenegro,,,International
 Montserrat, Montserrat, Montserrat,,,International
 Morocco, Morocco, Morocco,,,International
 Mozambique, Mozambique, Mozambique,,,International
 Myanmar, Myanmar, Myanmar,,,International
 Namibia, Namibia, Namibia,,,International
 Nepal, Nepal, Nepal,,,International
 Netherlands, Netherlands, Netherlands,NED,,International
 New Caledonia, New Caledonia, New Caledonia,,,International
 New Zealand, New Zealand, New Zealand,,,International
 Nicaragua, Nicaragua, Nicaragua,,,International
 Niger, Niger, Niger,,,International
 Nigeria, Nigeria, Nigeria,NGA,,International
 North Korea, North Korea, North Korea,,,International
 Northern Ireland, Northern Ireland, Northern Ireland,,,International
 Norway, Norway, Norway,,,International
 Oman, Oman, Oman,,,International
 Pakistan, Pakistan, Pakistan,,,International
 Palestine, Palestine, Palestine,,,International
 Panama, Panama, Panama,,,International
 Papua New Guinea, Papua New Guinea, Papua New Guinea,,,International
 Paraguay, Paraguay, Paraguay,,,International
 Peru, Peru, Peru,,,International
 Philippines, Philippines, Philippines,,,International
 Poland, Poland, Poland,,,International
 Portugal, Portugal, Portugal,POR,,International
 Puerto Rico, Puerto Rico, Puerto Rico,,,International
 Qatar, Qatar, Qatar,,,International
 Romania, Romania, Romania,,,International
 Russia, Russia, Russia,RUS,,International
 Rwanda, Rwanda, Rwanda,,,International
 Réunion, Réunion, Réunion,,,International
 Saint Kitts and Nevis, Saint Kitts and Nevis,,,,International
 Saint Lucia, Saint Lucia, Saint Lucia,,,International
 Saint Vincent and the Grenadines, Saint Vincent and the Grenadines,,,,International
 Samoa, Samoa, Samoa,,,International
 San Marino, San Marino, San Marino,,,International
 Saudi Arabia, Saudi Arabia, Saudi Arabia,,,International
 Scotland, Scotland, Scotland,,,International
 Senegal, Senegal, Senegal,,,International
 Serbia, Serbia, Serbia,,,International
 Seychelles, Seychelles, Seychelles,,,International
 Sierra Leone, Sierra Leone, Sierra Leone,,,International
 Singapore, Singapore, Singapore,,,International
 Sint Maarten, Sint Maarten, Sint Maarten,,,International
 Slovakia, Slovakia, Slovakia,,,International
 Slovenia, Slovenia, Slovenia,,,International
 Solomon Islands, Solomon Islands, Solomon Islands,,,International
 Somalia, Somalia, Somalia,,,International
 South Africa, South Africa, South Africa,,,International
 South Korea, South Korea, South Korea,KOR,,International
 South Sudan, South Sudan, South Sudan,,,International
 Spain, Spain, Spain,ESP,,International
 Sri Lanka, Sri Lanka, Sri Lanka,,,International
 Sudan, Sudan, Sudan,,,International
 Suriname, Suriname, Suriname,,,International
 Swaziland, Swaziland, Swaziland,,,International
 Sweden, Sweden, Sweden,,,International
 Switzerland, Switzerland, Switzerland,SUI,,International
 Syria, Syria, Syria,,,International
 São Tomé and Príncipe, São Tomé and Príncipe,,,,International
 Tahiti, Tahiti, Tahiti,,,International
 Tajikistan, Tajikistan, Tajikistan,,,International
 Tanzania, Tanzania, Tanzania,,,International
 Thailand, Thailand, Thailand,,,International
 Togo, Togo, Togo,,,International
 Tonga, Tonga, Tonga,,,International
 Trinidad and Tobago, Trinidad and Tobago,,,,International
 Tunisia, Tunisia, Tunisia,,,International
 Turkey, Turkey, Turkey,,,International
 Turkmenistan, Turkmenistan, Turkmenistan,,,International
 Turks and Caicos Islands, Turks and Caicos Islands,,,,International
 Tuvalu, Tuvalu, Tuvalu,,,International
 U.S. Virgin Islands, U.S. Virgin Islands, U.S. Virgin Islands,,,International
 Uganda, Uganda, Uganda,,,International
 Ukraine, Ukraine, Ukraine,,,International
 United Arab Emirates, United Arab Emirates,,,,International
 United States, United States, United States,USA,,International
 Uruguay, Uruguay, Uruguay,URU,,International
 Uzbekistan, Uzbekistan, Uzbekistan,,,International
 Vanuatu, Vanuatu, Vanuatu,,,International
 Venezuela, Venezuela, Venezuela,,,International
 Vietnam, Vietnam, Vietnam,,,International
 Wales, Wales, Wales,,,International
 Yemen, Yemen, Yemen,,,International
 Zambia, Zambia, Zambia,,,International
 Zanzibar, Zanzibar, Zanzibar,,,International
